totalSteps,totalDistance,calendarDate,sleepTimeSeconds,napTimeSeconds,sleepStartTimestampLocal,sleepEndTimestampLocal,deepSleepSeconds,lightSleepSeconds,remSleepSeconds,awakeSleepSeconds,averageRespirationValue,lowestRespirationValue,highestRespirationValue,awakeCount,avgSleepStress,sleepScoreFeedback,sleepScores_overall,sleepScores_remPercentage,sleepScores_lightPercentage,sleepScores_deepPercentage,sleepScores_totalDuration_qualifierKey,sleepScores_stress_qualifierKey,sleepScores_awakeCount_qualifierKey,sleepScores_overall_qualifierKey,sleepScores_remPercentage_qualifierKey,sleepScores_remPercentage_idealStartInSeconds,sleepScores_remPercentage_idealEndInSeconds,sleepScores_restlessness_qualifierKey,sleepScores_lightPercentage_qualifierKey,sleepScores_lightPercentage_idealStartInSeconds,sleepScores_lightPercentage_idealEndInSeconds,sleepScores_deepPercentage_qualifierKey,sleepScores_deepPercentage_idealStartInSeconds,sleepScores_deepPercentage_idealEndInSeconds,bodyBatteryChange,restingHeartRate,hrv_baseline_lowUpper,hrv_baseline_balancedLow,hrv_baseline_balancedUpper,hrv_status,respiration_lowestRespirationValue,respiration_highestRespirationValue,respiration_avgSleepRespirationValue,stress_maxStressLevel,stress_avgStressLevel
7544,6292,5/16/2024,22920,0,1.71582E+12,1.71584E+12,3780,16680,2460,1500,14,11,17,2,12,NEGATIVE_RESTLESS,70,11,73,16,FAIR,EXCELLENT,FAIR,FAIR,POOR,4813.2,7105.2,FAIR,FAIR,6876,14668.8,GOOD,3667.2,7563.6,81,43,,,,,,,,,
4606,3793,5/17/2024,19800,0,1.7159E+12,1.71593E+12,2580,15960,1260,6720,14,10,18,3,22,NEGATIVE_SHORT_AND_POOR_QUALITY,52,6,81,13,POOR,FAIR,POOR,POOR,POOR,4158,6138,POOR,POOR,5940,12672,FAIR,3168,6534,57,48,,,,,,,,,
4016,3307,5/18/2024,40320,2880,1.71598E+12,1.71602E+12,6420,25140,8760,420,15,11,19,0,13,POSITIVE_OPTIMAL_STRUCTURE,93,22,62,16,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,GOOD,8467.2,12499.2,EXCELLENT,GOOD,12096,25804.8,GOOD,6451.2,13305.6,94,45,,,,,,,,,
17096,14579,5/19/2024,28680,6060,1.71607E+12,1.7161E+12,4020,21180,3480,1080,15,13,18,1,13,POSITIVE_LONG_AND_RECOVERING,84,12,74,14,EXCELLENT,EXCELLENT,GOOD,GOOD,FAIR,6022.8,8890.8,GOOD,FAIR,8604,18355.2,FAIR,4588.8,9464.4,62,45,,,,,,,,,
15559,12747,5/20/2024,35040,1440,1.71616E+12,1.71619E+12,2640,24360,8040,2040,14,10,18,1,15,POSITIVE_LONG_AND_REFRESHING,83,23,70,8,EXCELLENT,GOOD,FAIR,GOOD,EXCELLENT,7358.4,10862.4,FAIR,FAIR,10512,22425.6,FAIR,5606.4,11563.2,70,48,,,,,,,,,
6177,5087,5/21/2024,26460,0,1.71624E+12,1.71627E+12,3000,19680,3780,840,13,10,17,1,19,POSITIVE_LONG_AND_CONTINUOUS,81,14,74,11,EXCELLENT,FAIR,GOOD,GOOD,FAIR,5556.6,8202.6,GOOD,FAIR,7938,16934.4,FAIR,4233.6,8731.8,60,46,,,,,,,,,
4924,4111,5/23/2024,26940,0,1.71642E+12,1.71644E+12,5640,13500,7800,960,14,12,16,1,8,POSITIVE_HIGHLY_RECOVERING,91,29,50,21,GOOD,EXCELLENT,GOOD,EXCELLENT,EXCELLENT,5657.4,8351.4,GOOD,EXCELLENT,8082,17241.6,EXCELLENT,4310.4,8890.2,81,44,,,,,,,,,
8953,7373,5/24/2024,27660,1620,1.7165E+12,1.71653E+12,3780,17220,6660,660,14,10,16,0,8,POSITIVE_HIGHLY_RECOVERING,92,24,62,14,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,5808.6,8574.6,EXCELLENT,GOOD,8298,17702.4,FAIR,4425.6,9127.8,63,40,,,,,,,,,
20553,20223,5/25/2024,18660,6060,1.7166E+12,1.71662E+12,4320,13860,480,7560,15,10,19,5,40,NEGATIVE_SHORT_AND_POOR_QUALITY,35,3,74,23,POOR,POOR,POOR,POOR,POOR,3918.6,5784.6,POOR,FAIR,5598,11942.4,EXCELLENT,2985.6,6157.8,21,49,,,,,,,,,
22196,18259,5/26/2024,28680,0,1.71668E+12,1.71671E+12,4200,19620,4860,1500,14,8,19,1,15,POSITIVE_LONG_AND_RECOVERING,84,17,68,15,EXCELLENT,GOOD,GOOD,GOOD,FAIR,6022.8,8890.8,GOOD,FAIR,8604,18355.2,FAIR,4588.8,9464.4,74,49,,,,,,,,,
10253,12071,5/27/2024,28680,0,1.71676E+12,1.71679E+12,1800,20760,6120,1560,13,10,16,3,14,POSITIVE_LONG_AND_RECOVERING,79,21,72,6,EXCELLENT,GOOD,FAIR,FAIR,GOOD,6022.8,8890.8,FAIR,FAIR,8604,18355.2,FAIR,4588.8,9464.4,82,43,,,,,,,,,
4768,4016,5/28/2024,26580,660,1.71685E+12,1.71687E+12,2220,18300,6060,120,14,9,16,0,13,POSITIVE_LONG_AND_CONTINUOUS,85,23,69,8,GOOD,GOOD,EXCELLENT,GOOD,EXCELLENT,5581.8,8239.8,EXCELLENT,FAIR,7974,17011.2,FAIR,4252.8,8771.4,71,45,,,,,,,,,
37070,5809,5/29/2024,29160,0,1.71693E+12,1.71696E+12,7140,16560,5460,540,14,10,16,0,9,POSITIVE_HIGHLY_RECOVERING,95,19,57,24,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,FAIR,6123.6,9039.6,EXCELLENT,EXCELLENT,8748,18662.4,EXCELLENT,4665.6,9622.8,74,40,91,100,147,BALANCED,10,18,14,96,21
12595,36897,5/30/2024,28440,0,1.71702E+12,1.71705E+12,4680,17280,6480,240,14,11,17,0,12,POSITIVE_OPTIMAL_STRUCTURE,94,23,61,16,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,5972.4,8816.4,EXCELLENT,GOOD,8532,18201.6,GOOD,4550.4,9385.2,57,41,91,100,147,BALANCED,9,19,14,93,25
49892,36519,5/31/2024,32520,0,1.7171E+12,1.71714E+12,4500,20700,7320,1500,14,9,16,2,10,POSITIVE_LONG_AND_RECOVERING,88,23,64,14,EXCELLENT,EXCELLENT,FAIR,GOOD,EXCELLENT,6829.2,10081.2,FAIR,GOOD,9756,20812.8,FAIR,5203.2,10731.6,61,42,91,100,146,BALANCED,10,17,14,99,34
39702,30914,6/1/2024,21720,0,1.7172E+12,1.71722E+12,4860,14460,2400,2280,14,12,16,3,13,POSITIVE_DEEP,71,11,67,22,FAIR,GOOD,FAIR,FAIR,FAIR,4561.2,6733.2,FAIR,FAIR,6516,13900.8,EXCELLENT,3475.2,7167.6,61,44,89,99,147,BALANCED,10,18,14,99,34
8223,16451,6/2/2024,29820,2160,1.71728E+12,1.71732E+12,5220,21840,2760,3780,14,11,18,6,17,NEGATIVE_LONG_BUT_POOR_QUALITY,58,9,73,18,EXCELLENT,FAIR,POOR,POOR,POOR,6262.2,9244.2,POOR,FAIR,8946,19084.8,GOOD,4771.2,9840.6,85,45,89,98,146,BALANCED,9,19,14,99,24
22690,19274,6/3/2024,30591,0,1.71737E+12,1.7174E+12,3480,19320,7800,1500,14,9,17,1,17,POSITIVE_LONG_AND_REFRESHING,85,25,63,11,EXCELLENT,FAIR,GOOD,GOOD,EXCELLENT,6424.11,9483.21,FAIR,GOOD,9177.3,19578.24,FAIR,4894.56,10095.03,70,44,89,98,146,BALANCED,9,17,14,97,21
4860,29168,6/4/2024,30600,0,1.71745E+12,1.71748E+12,1920,24420,4260,840,14,10,20,1,8,POSITIVE_LONG_AND_RECOVERING,84,14,80,6,EXCELLENT,EXCELLENT,GOOD,GOOD,FAIR,6426,9486,GOOD,FAIR,9180,19584,FAIR,4896,10098,61,41,89,98,145,BALANCED,9,20,14,97,25
